date,time,ozone_santaClarita,no_santaClarita,no2_santaClarita,RH_santaClarita,TEMP_santaClarita,WINDIR_santaClarita,WINDSPEED_santaClarita
2020/01/09,19:00:00,0.0242,0.6,9.299999999999999,54.5,47.31,349.0,1.0
2020/01/09,20:00:00,0.0176,0.9,13.6,63.7,45.86,165.0,1.0
2020/01/09,21:00:00,0.0119,0.7,14.0,77.1,42.05,135.0,2.0
2020/01/09,22:00:00,0.0107,0.4,12.3,82.4,40.24,131.0,2.0
2020/01/09,23:00:00,0.0114,0.5,12.0,85.0,39.04,136.0,2.0
2020/01/10,00:00:00,0.0104,0.4,9.700000000000001,86.9,37.92,109.0,2.0
2020/01/10,01:00:00,0.0086,0.7,11.6,89.3,36.98,122.0,2.0
2020/01/10,02:00:00,0.0072,0.7,13.299999999999999,88.1,37.42,0.0,0.0
2020/01/10,03:00:00,0.003,2.1,17.1,90.4,35.99,148.0,1.0
2020/01/10,04:00:00,0.0056,2.8,14.1,90.2,35.77,117.0,2.0
2020/01/10,05:00:00,0.0019,6.7,19.2,90.2,35.35,140.0,2.0
2020/01/10,06:00:00,0.001,11.700000000000001,19.8,89.3,34.84,130.0,2.0
2020/01/10,07:00:00,0.002,25.4,18.2,88.3,34.98,142.0,1.0
2020/01/10,08:00:00,0.0085,19.2,15.9,73.1,42.95,133.0,1.0
2020/01/10,09:00:00,0.0208,8.7,12.1,54.8,50.44,0.0,1.0
2020/01/10,10:00:00,0.0316,2.8,5.6,NA,NA,NA,NA
2020/01/10,11:00:00,0.032,2.7,5.5,NA,NA,NA,NA
2020/01/10,12:00:00,0.0364,1.7,4.1000000000000005,NA,NA,NA,NA
2020/01/10,13:00:00,0.0373,4.8,4.4,24.8,62.33,63.0,6.0
2020/01/10,14:00:00,0.039,0.9,2.9,24.5,63.17,69.0,5.0
2020/01/10,15:00:00,0.0388,0.7,3.1,25.7,63.08,72.0,5.0
2020/01/10,16:00:00,0.0376,0.4,3.3,27.5,61.08,61.0,3.0
2020/01/10,17:00:00,0.0164,2.7,17.3,32.9,56.3,0.0,0.0
2020/01/10,18:00:00,0.0037,4.5,25.3,41.6,48.68,135.0,2.0
2020/01/10,19:00:00,0.0044,3.6,22.4,57.8,44.75,126.0,2.0
2020/01/10,20:00:00,0.0052,2.2,20.2,63.1,42.45,121.0,2.0
2020/01/10,21:00:00,0.007,0.9,17.2,63.7,41.25,126.0,2.0
2020/01/10,22:00:00,0.0031,2.9,18.700000000000003,68.6,39.96,136.0,1.0
2020/01/10,23:00:00,0.0033,2.1,17.6,73.7,38.15,144.0,2.0
2020/01/11,00:00:00,0.0048,1.0,13.299999999999999,76.4,37.03,131.0,1.0
2020/01/11,01:00:00,0.0039,1.3,13.799999999999999,78.9,35.74,155.0,1.0
2020/01/11,02:00:00,0.0066,0.7,11.799999999999999,79.1,35.27,123.0,2.0
2020/01/11,03:00:00,0.0031,2.6,13.899999999999999,82.6,34.14,158.0,1.0
2020/01/11,04:00:00,0.0039,2.2,13.2,84.0,33.32,134.0,3.0
2020/01/11,05:00:00,0.0033,6.6,14.3,82.1,33.55,0.0,1.0
2020/01/11,06:00:00,0.0016,7.0,15.8,85.2,32.37,133.0,2.0
2020/01/11,07:00:00,0.0022,24.1,15.7,83.6,33.21,138.0,1.0
2020/01/11,08:00:00,0.0085,14.200000000000001,13.5,63.0,41.65,0.0,0.0
2020/01/11,09:00:00,0.0153,13.700000000000001,13.5,52.9,46.01,326.0,2.0
2020/01/11,10:00:00,0.021,9.4,12.9,48.7,52.45,176.0,3.0
2020/01/11,11:00:00,0.0271,8.1,14.6,54.8,55.64,179.0,9.0
2020/01/11,12:00:00,0.033,5.1000000000000005,11.9,51.7,57.4,173.0,8.0
2020/01/11,13:00:00,0.0334,4.7,12.7,43.7,58.76,176.0,7.0
2020/01/11,14:00:00,0.035,3.5,11.6,47.1,59.61,182.0,6.0
2020/01/11,15:00:00,0.0338,2.7,13.100000000000001,46.1,58.77,182.0,7.0
2020/01/11,16:00:00,0.0324,1.6,12.7,38.2,57.37,0.0,1.0
2020/01/11,17:00:00,0.034,1.1,5.7,38.9,53.29,347.0,3.0
2020/01/11,18:00:00,0.02,0.6,13.0,49.8,49.6,162.0,2.0
2020/01/11,19:00:00,0.0181,0.5,13.4,63.8,45.55,116.0,1.0
2020/01/11,20:00:00,0.0248,0.9,11.9,57.3,48.68,310.0,4.0
2020/01/11,21:00:00,0.028,0.4,7.8,62.3,46.53,0.0,1.0
2020/01/11,22:00:00,0.0204,0.4,7.9,73.5,41.79,109.0,2.0
2020/01/11,23:00:00,0.0127,0.8,12.200000000000001,78.2,39.66,195.0,1.0
2020/01/12,00:00:00,0.0125,0.7,11.2,78.7,38.28,135.0,2.0
2020/01/12,01:00:00,0.0127,0.4,9.799999999999999,80.3,36.65,131.0,2.0
2020/01/12,02:00:00,0.0149,0.4,7.4,79.9,35.85,131.0,2.0
2020/01/12,03:00:00,0.0142,0.3,6.5,82.3,35.15,118.0,2.0
2020/01/12,04:00:00,0.0145,0.4,6.5,83.8,34.77,139.0,2.0
2020/01/12,05:00:00,0.0122,0.3,7.0,85.3,33.94,132.0,2.0
2020/01/12,06:00:00,0.0055,1.8,12.200000000000001,86.6,33.15,144.0,2.0
2020/01/12,07:00:00,0.0095,3.6,10.9,81.7,34.86,121.0,1.0
2020/01/12,08:00:00,0.0163,5.0,9.1,66.7,42.71,0.0,1.0
2020/01/12,09:00:00,0.0273,4.3,8.6,46.0,52.11,0.0,0.0
2020/01/12,10:00:00,0.0361,1.5,4.0,38.1,54.45,299.0,1.0
2020/01/12,11:00:00,0.0389,0.9,2.8,32.6,57.27,344.0,2.0
2020/01/12,12:00:00,0.0404,0.9,3.0,29.7,60.09,0.0,1.0
2020/01/12,13:00:00,0.0417,0.9,3.1,27.8,63.35,308.0,2.0
2020/01/12,14:00:00,0.0417,0.8,3.5,31.5,62.87,160.0,5.0
2020/01/12,15:00:00,0.0417,0.7,4.1000000000000005,35.2,62.2,247.0,2.0
2020/01/12,16:00:00,0.0378,0.6,9.299999999999999,45.4,58.6,183.0,3.0
2020/01/12,17:00:00,0.0361,0.3,5.4,49.1,54.14,338.0,3.0
2020/01/12,18:00:00,0.0217,0.5,10.7,54.7,49.53,0.0,1.0
2020/01/12,19:00:00,0.015,0.5,13.4,60.7,44.76,136.0,2.0
2020/01/12,20:00:00,0.0132,0.4,12.4,71.4,42.3,151.0,2.0
2020/01/12,21:00:00,0.0137,0.6,13.0,72.1,41.23,149.0,2.0
2020/01/12,22:00:00,0.0104,1.0,13.299999999999999,75.2,39.63,127.0,1.0
2020/01/12,23:00:00,0.0116,0.6,11.6,75.5,38.98,128.0,2.0
2020/01/13,00:00:00,0.0139,0.3,6.6,79.3,37.41,116.0,1.0
2020/01/13,01:00:00,0.0142,0.4,6.2,82.2,36.11,113.0,2.0
2020/01/13,02:00:00,0.0139,0.3,6.2,82.7,35.83,111.0,1.0
2020/01/13,03:00:00,0.0126,0.3,6.7,85.6,34.48,111.0,1.0
