date,time,ozone_anaheim,no_anaheim,no2_anaheim,RH_anaheim,TEMP_anaheim,WINDIR_anaheim,WINDSPEED_anaheim
2020/01/06,13:00:00,0.0403,2.3,7.0,7.2,78.62,71.0,7.0
2020/01/06,14:00:00,0.0387,2.5,8.8,8.2,78.28,76.0,8.0
2020/01/06,15:00:00,0.0364,2.5,10.4,9.5,77.83,64.0,7.0
2020/01/06,16:00:00,0.0318,1.9,14.1,10.9,75.77,61.0,6.0
2020/01/06,17:00:00,0.0276,1.2,16.6,12.5,73.04,59.0,4.0
2020/01/06,18:00:00,0.023,2.6,19.5,14.5,70.64,50.0,5.0
2020/01/06,19:00:00,0.0227,1.6,19.2,15.7,68.9,43.0,6.0
2020/01/06,20:00:00,0.0227,1.8,18.8,16.0,67.36,42.0,5.0
2020/01/06,21:00:00,0.02,1.8,21.8,14.7,66.97,48.0,3.0
2020/01/06,22:00:00,0.0324,0.9,9.6,12.1,68.89,73.0,5.0
2020/01/06,23:00:00,0.0327,0.7,9.2,12.1,68.34,82.0,5.0
2020/01/07,00:00:00,0.03,0.7,10.8,13.1,66.53,75.0,2.0
2020/01/07,01:00:00,0.029,0.7,11.799999999999999,13.3,65.89,54.0,3.0
2020/01/07,02:00:00,0.0311,0.7,8.9,13.9,65.43,60.0,3.0
2020/01/07,03:00:00,0.0049,25.7,36.1,26.9,57.46,353.0,1.0
2020/01/07,04:00:00,0.0001,41.4,41.0,31.0,54.48,320.0,1.0
2020/01/07,05:00:00,0.0019,32.4,40.099999999999994,23.4,57.96,13.0,2.0
2020/01/07,06:00:00,0.0138,5.4,28.6,14.7,63.75,61.0,3.0
2020/01/07,07:00:00,0.004,53.0,38.6,25.6,58.29,0.0,1.0
2020/01/07,08:00:00,0.0032,57.6,36.6,30.3,59.26,204.0,1.0
2020/01/07,09:00:00,0.011,22.9,29.0,26.4,63.43,193.0,2.0
2020/01/07,10:00:00,0.0189,16.0,24.9,21.1,69.61,196.0,1.0
2020/01/07,11:00:00,0.0266,8.0,18.9,17.2,72.44,234.0,2.0
2020/01/07,12:00:00,0.0315,6.1000000000000005,16.400000000000002,14.3,76.28,214.0,1.0
2020/01/07,13:00:00,0.0388,3.1,11.0,11.2,77.35,221.0,3.0
2020/01/07,14:00:00,0.0391,2.6,12.1,11.0,77.38,218.0,3.0
